2026-04-22 22:32:38 | WARNING  | src.monitor:should_pause:96 | Memory usage 84.2% exceeds threshold 80%
2026-04-22 22:32:38 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:32:40 | WARNING  | src.monitor:should_pause:96 | Memory usage 84.0% exceeds threshold 80%
2026-04-22 22:32:40 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:32:42 | WARNING  | src.monitor:should_pause:96 | Memory usage 84.0% exceeds threshold 80%
2026-04-22 22:32:42 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:32:44 | WARNING  | src.monitor:should_pause:96 | Memory usage 84.2% exceeds threshold 80%
2026-04-22 22:32:44 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:32:47 | WARNING  | src.monitor:should_pause:96 | Memory usage 82.7% exceeds threshold 80%
2026-04-22 22:32:47 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:32:49 | WARNING  | src.monitor:should_pause:96 | Memory usage 82.6% exceeds threshold 80%
2026-04-22 22:32:49 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:32:51 | WARNING  | src.monitor:should_pause:96 | Memory usage 82.4% exceeds threshold 80%
2026-04-22 22:32:51 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:32:53 | WARNING  | src.monitor:should_pause:96 | Memory usage 82.8% exceeds threshold 80%
2026-04-22 22:32:53 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:32:55 | WARNING  | src.monitor:should_pause:96 | Memory usage 82.7% exceeds threshold 80%
2026-04-22 22:32:55 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:32:57 | WARNING  | src.monitor:should_pause:96 | Memory usage 82.6% exceeds threshold 80%
2026-04-22 22:32:57 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:32:59 | WARNING  | src.monitor:should_pause:96 | Memory usage 82.6% exceeds threshold 80%
2026-04-22 22:32:59 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:33:01 | WARNING  | src.monitor:should_pause:96 | Memory usage 82.5% exceeds threshold 80%
2026-04-22 22:33:01 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:33:04 | WARNING  | src.monitor:should_pause:96 | Memory usage 82.4% exceeds threshold 80%
2026-04-22 22:33:04 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:33:06 | WARNING  | src.monitor:should_pause:96 | Memory usage 82.2% exceeds threshold 80%
2026-04-22 22:33:06 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:33:08 | WARNING  | src.monitor:should_pause:96 | Memory usage 82.1% exceeds threshold 80%
2026-04-22 22:33:08 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:33:10 | WARNING  | src.monitor:should_pause:96 | Memory usage 82.0% exceeds threshold 80%
2026-04-22 22:33:10 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:33:12 | WARNING  | src.monitor:should_pause:96 | Memory usage 81.7% exceeds threshold 80%
2026-04-22 22:33:12 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:33:14 | WARNING  | src.monitor:should_pause:96 | Memory usage 81.5% exceeds threshold 80%
2026-04-22 22:33:14 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:33:16 | WARNING  | src.monitor:should_pause:96 | Memory usage 81.5% exceeds threshold 80%
2026-04-22 22:33:16 | INFO     | src.monitor:wait_for_resources:124 | Waiting for resources to free up...
2026-04-22 22:33:18 | WARNING  | src.monitor:should_pause:96 | Memory usage 81.6% exceeds threshold 80%
